Language,"Source Text","Bing Translate #1","Bing Translate #2","Bing Score (RTT with similar_text)","Bing Score (RTT with meteor)","Google Translate #1","Google Translate #2","Google Score (RTT with similar_text)","Google Score (RTT with meteor)","Yandex Translate #1","Yandex Translate #2","Yandex Score (RTT with similar_text)","Yandex Score (RTT with meteor)"
﻿en-ms,"early in his career , he was asked by a customer to assemble the full computer .","awal dalam kerjayanya, beliau diminta oleh pelanggan untuk memasang komputer sepenuhnya.","early in his career, he was asked by the customer to install the computer completely.",0.81212121212121,0.71340518455903,"awal kariernya, beliau diminta oleh seorang pelanggan untuk memasang komputer penuh.","early on, he was asked by a customer to install a full computer.",0.79166666666667,0.63153440207109,"awal dalam kerjayanya , dia telah diminta oleh pelanggan untuk memasang komputer penuh .","early in his career , he was asked by a customer to install a full computer .",0.90445859872611,0.92681525735294
﻿en-ms,"there were already projects underway for artificial satellites .","ada pun projek-projek dijalankan untuk satelit buatan.","There are already projects conducted to artificial satellite.",0.832,0.2247191011236,"sudah ada projek yang dijalankan untuk satelit buatan.","there is already a project run for artificial satellites.",0.8595041322314,0.41333333333333,"sudah ada projek yang sedang dijalankan untuk buatan satelit .","there is already an ongoing project for the artificial satellite .",0.75384615384615,0.27173913043478
﻿en-ms,"a tunnel leads to the preserved Roman sewer .","terowong menghala ke pembetung Rom yang dipelihara.","the tunnel leads to the Roman sewers which preserved.",0.69387755102041,0.70521541950113,"terowong membawa kepada pembetung Rom yang diawetkan.","the tunnel leads to a preserved Roman sewer.",0.89887640449438,0.78915028089888,"terowong yang mengarah ke dipelihara Roman pembetung .","the tunnel that leads to the well preserved Roman sewer .",0.86274509803922,0.93531937734836
﻿en-ms,"I painted such art that one collector had it hanging on the same wall with Falk and Larionov .","Saya dicat seni tersebut bahawa satu Pemungut sudah tergantung di dinding yang sama dengan Falk dan Larionov.","I painted the art that one Collector is already hanging on the wall the same with Falk and Larionov.",0.82474226804124,0.84811509743216,"Saya melukis seni sedemikian rupa bahawa seorang pengumpul memilikinya tergantung di dinding yang sama dengan Falk dan Larionov.","I paint art in such a way that a collector has it hanging on the same wall with Falk and Larionov.",0.88541666666667,0.74155092592593,"Aku dicat seperti seni yang satu pengumpul telah ia tergantung di dinding yang sama dengan Falk dan Larionov .","I painted like a of art that a collector have it hanging on the wall the same with Falk and Larionov .",0.8265306122449,0.83493196120265
﻿en-ms,"he is a city man , who makes people smile on the street and lifts up everyone 's spirit .","Beliau adalah seorang lelaki bandar, yang menjadikan orang-orang yang tersenyum di jalan dan mengangkat naik semangat semua orang.","He is a man of the city, which makes those who smile in the street and lifting up the spirit of everyone.",0.67010309278351,0.57965269183168,"dia seorang lelaki bandar, yang membuat orang tersenyum di jalan dan mengangkat semangat semua orang.","he is a city man, who makes people smile on the road and lift everyone's spirits.",0.90588235294118,0.59010062358277,"dia adalah bandar pria , yang membuat orang tersenyum di jalan dan mengangkat semua orang 's semangat .","he is a city man , who made people smile on the street and lift everyone's spirit .",0.95348837209302,0.73333333333333
﻿en-ms,"she was holidaying at the resort area of Krabi .","Dia bercuti di kawasan resort Krabi.","He was on vacation in the resort area of Krabi.",0.75789473684211,0.5625,"dia bercuti di kawasan peranginan Krabi.","he is vacationing in Krabi's resort area.",0.53932584269663,0.10309278350515,"dia sedang bercuti di kawasan resort Krabi .","he is on vacation in the resort area of Krabi .",0.75789473684211,0.58305830583058
﻿en-ms,"Jerusalem has the most holy places for the Jews as well .","Jerusalem mempunyai tempat-tempat suci tempahan untuk orang-orang Yahudi juga.","Jerusalem has holy places orders for Jews as well.",0.80373831775701,0.6002938034188,"Yerusalem mempunyai tempat yang paling suci bagi orang Yahudi juga.","Jerusalem has the most sacred place for the Jews as well.",0.89473684210526,0.74229691876751,"Yerusalem telah yang paling tempat suci bagi orang Yahudi juga .","Jerusalem was the most sacred place for Jews as well .",0.84684684684685,0.59020483193277
﻿en-ms,"this is how it differs from its competitor .","ini adalah bagaimana ia berbeza dari Syarikat pesaing.","This is how it differs from competitors.",0.9047619047619,0.66919191919192,"ini adalah bagaimana ia berbeza dari pesaingnya.","this is how it differs from its competitors.",0.97727272727273,0.77734464572346,"ini adalah bagaimana ia berbeza dari pesaing .","this is how it differs from competitors .",0.94117647058824,0.77734464572346
﻿en-ms,"small bags under the seat will still be free .","Beg-beg kecil di bawah kerusi tersebut akan tetap menjadi percuma.","Small bags under the seat will still be free.",0.96703296703297,0.90410275595461,"Beg kecil di bawah kerusi itu masih akan dibebaskan.","The small bag under the chair will still be released.",0.80808080808081,0.63469387755102,"beg kecil di bawah tempat duduk masih akan bebas .","small bags under the seat will still be free .",1,0.996
﻿en-ms,"through sponsorships donations , the money all adds up .","melalui tajaan derma, wang itu semua menambah.","through sponsorship donations, the money all add.",0.93333333333333,0.25773195876289,"melalui tajaan derma, wang semua menambah.","through sponsorship of donations, money all adds.",0.87619047619048,0.25773195876289,"melalui tajaan sumbangan , uang itu semua menambah up .","through sponsorship contributions , that money all adds up .",0.89655172413793,0.63469387755102
﻿en-ms,"this time Serna had to be content with being on the winning podium .","buat masa ini Serna perlu menjadi kandungan dengan berada di podium kemenangan.","Serna currently have to be content with being on the podium victory.",0.72058823529412,0.64009661835749,"kali ini Serna terpaksa berpuas hati dengan berada di podium yang menang.","this time Serna had to be satisfied with being on the winning podium.",0.90510948905109,0.85656474820144,"kali ini Serna harus kandungan dengan berada di menang podium .","this time Serna should be content with being on the winning podium .",0.94117647058824,0.85656474820144
﻿en-ms,"although 55 percent of Colorado voters supported the measure .","Walaupun 55 peratus pengundi Colorado menyokong langkah itu.","Although 55 percent of voters support the move of Colorado.",0.74380165289256,0.70234375,"walaupun 55 peratus pengundi Colorado menyokong langkah itu.","although 55 percent of Colorado voters support the move.",0.91525423728814,0.67924139352711,"walaupun 55% dari Colorado pengundi disokong mengukur .","although 55% of Colorado voters supported the measure .",0.92307692307692,0.89225589225589
﻿en-ms,"an appeal for review by a higher court will be filed .","rayuan untuk semakan oleh Mahkamah yang lebih tinggi akan difailkan.","appeal for review by a higher Court will be filed.",0.94230769230769,0.84406779661017,"rayuan untuk semakan oleh mahkamah yang lebih tinggi akan difailkan.","an appeal for review by a higher court will be filed.",0.99065420560748,0.92159177720675,"rayuan untuk mengkaji semula oleh pengadilan yang lebih tinggi akan akan diarsipkan .","the appeal for review by a higher court will be filed .",0.95412844036697,0.91391184573003
﻿en-ms,"Basharat Ditta would feed sensitive intelligence to crime lord Neil Scarbrough .","Basharat Ditta akan makan perisikan yang sensitif kepada Tuhan jenayah Neil Scarbrough.","Basharat Ditta will eat sensitive intelligence crime Lord Neil Scarbrough.",0.8961038961039,0.63559322033898,"Basharat Ditta akan memberi perisikan sensitif kepada tuan kejahatan Neil Scarbrough.","Basharat Ditta will give sensitive intelligence to the evil criminal Neil Scarbrough.",0.82424242424242,0.52891156462585,"Basharat Ditta akan memberi makan sensitif intelejen untuk jenayah tuhan Neil Scarbrough .","Basharat A_ would feed sensitive intelligence to crime lord Neil Scarbrough .",0.95541401273885,0.90736914600551
﻿en-ms,"some of those bills are identical , but they give their sponsors the chance to brag that they authored such a measure .","beberapa Rang undang-undang tersebut adalah serupa, tetapi mereka memberikan Sponsor mereka peluang untuk bercakap gah mereka menulis langkah itu.","some bills are similar, but they give their Sponsors the opportunity to brag they write the move.",0.67592592592593,0.53505388841927,"beberapa rang undang-undang itu sama, tetapi mereka memberi penaja mereka kesempatan untuk membual bahawa mereka telah menulis ukuran sedemikian.","some of the bill are the same, but they give their sponsors the opportunity to boast that they have written such measures.",0.77178423236515,0.58427947598253,"beberapa dari orang-orang bil yang sama , tetapi mereka memberi mereka sponsor peluang untuk membual bahwa mereka mengarang itu ukuran .","some of those bills the same , but they give their sponsors the opportunity to boast that they compose the measurements .",0.75,0.71644429670147
﻿en-ms,"between July and September , the economy of both the Eurozone and the European Union grew by 0.2 % .","antara bulan Julai hingga September, ekonomi kedua-dua zon Euro dan Kesatuan Eropah telah meningkat sebanyak 0.2%.","between July and September, the economy of both the Euro zone and the European Union increased by 0.2%.",0.93596059113301,0.71907968574635,"antara Julai dan September, ekonomi kedua-dua zon Euro dan Kesatuan Eropah berkembang sebanyak 0.2%.","between July and September, the economies of both the Euro zone and the European Union grew by 0.2%.",0.96,0.71907968574635,"antara julai dan September , ekonomi kedua-dua Euro dan Uni Eropa meningkat 0.2 % .","between July and September , the economies of both the Euro and the European Union rose 0.2 % .",0.92307692307692,0.75376884422111
en-ms,"European executives have become more aware that data stored in the US is potentially vulnerable .","Eksekutif Eropah telah menjadi lebih sedar bahawa data yang disimpan di Amerika Syarikat yang berpotensi terdedah.","European executives have become more aware that data stored in the United States that are potentially exposed.",0.83091787439614,0.80249182255871,"Para eksekutif Eropah telah menjadi lebih sedar bahawa data yang disimpan di AS berpotensi terdedah.","European executives have become more aware that data stored in the US is potentially vulnerable.",0.99481865284974,0.94227812718379,"Eropah eksekutif telah menjadi lebih diketahui data itu disimpan di dalam KITA adalah berpotensi terdedah .","European executives have become more aware that data stored in the US is potentially vulnerable .",1,0.9990234375
﻿en-ms,"Shnur and his friends lip sang easy songs .","Shnur dan bibir kawan-kawan beliau menyanyikan lagu-lagu mudah.","Shnur and lips of friends he sang songs easy.",0.77272727272727,0.33333333333333,"Shnur dan kawan-kawannya menyanyikan lagu-lagu mudah.","Shnur and his friends sang easy songs.",0.93827160493827,0.764146567718,"Shnur dan kawan-kawannya bibir menyanyikan lagu mudah .","Shnur and his friends lip sang simple songs .",0.90909090909091,0.86545138888889
﻿en-ms,"he became the first member of the government to admit that US spying had crossed the line .","Beliau menjadi ahli pertama kerajaan mengakui bahawa AS mengintip telah melintasi garisan itu.","He became a member of the first Government acknowledges that the US spying has crossed the line.",0.77005347593583,0.67822939231559,"dia menjadi ahli pertama kerajaan untuk mengakui bahawa pengintipan AS telah menyeberang.","he became the first member of the government to acknowledge that US espionage had crossed.",0.85082872928177,0.72376558686859,"dia menjadi yang pertama anggota kerajaan untuk mengakui bahawa KITA mengintip telah melintasi garis .","he became the first member of government to admit that US spying has crossed the line .",0.96629213483146,0.87028631284916
﻿en-ms,"American citizens do not have a universal ID card .","Rakyat Amerika tidak mempunyai kad pengenalan yang universal.","Americans do not have universal identification card.",0.7378640776699,0.38350515463918,"Warganegara Amerika tidak mempunyai kad pengenalan universal.","American citizens do not have universal identification cards.",0.82142857142857,0.57397959183673,"Rakyat amerika tidak mempunyai universal ID kartu .","The american people do not have a universal ID card .",0.82692307692308,0.87458745874587
﻿en-ms,"the overwhelming majority of illegal weapons comes from the military and security forces .","majoriti haram senjata datang dari pasukan tentera dan Keselamatan.","the majority of illegal weapons coming from the troops and security.",0.77215189873418,0.60061277822835,"Majoriti senjata haram berasal dari tentera dan pasukan keselamatan.","The majority of illegal weapons came from soldiers and security forces.",0.78260869565217,0.60061277822835,"kebanyakan senjata haram datang dari militer dan pasukan keamanan .","most of the illegal weapons came from the military and security forces .",0.77777777777778,0.75420655211368
﻿en-ms,"this enables one to know if they have favourite messages .","ini membolehkan seseorang untuk mengetahui jika mereka mempunyai mesej kegemaran.","This allows one to find out if they have a favorite message.",0.8135593220339,0.46046046046046,"ini membolehkan seseorang mengetahui jika mereka mempunyai mesej kegemaran.","this lets someone know if they have a favorite message.",0.84955752212389,0.40917431192661,"ini membolehkan siapa yang tahu jika mereka punya kegemaran mesej .","this allows one to know if they have a favorite message .",0.90434782608696,0.70171734234234
﻿en-ms,"the findings could help explain how water reached other regions of the solar system .","hasil kajian ini dapat membantu menjelaskan bagaimana air mencapai kawasan-kawasan lain dalam sistem Suria.","the findings could help explain how water reaches other regions in the solar system.",0.9585798816568,0.79045488441462,"penemuan dapat membantu menjelaskan bagaimana air sampai ke kawasan lain sistem suria.","Discoveries can help explain how water gets to other areas of the solar system.",0.74390243902439,0.51454138702461,"penemuan yang bisa membantu menjelaskan bagaimana air mencapai kawasan-kawasan lain sistem solar .","the discovery could help explain how the water reached other regions of the solar system .",0.91428571428571,0.96158940397351
﻿en-ms,"an "" industry "" which has cost Quebec taxpayers dearly .","""industri"" yang mempunyai kos pembayar cukai Quebec dgn pengorbanan yg besar.","""industry"" that has cost taxpayers Quebec dearly.",0.74285714285714,0.28301886792453,"sebuah ""industri"" yang mempunyai kos pembayar cukai Quebec mahal.","an ""industry"" with expensive Quebec taxpayer costs.",0.69158878504673,0.14150943396226,"""industri"" yang telah kos Quebec pembayar cukai yang mahal .","the ""industry"" that has cost Quebec taxpayers expensive .",0.76106194690265,0.47325102880658
﻿en-ms,"here I finally understood why we drill all the definitions of what to combine with what .","di sini saya akhirnya faham kenapa kita menggerudi semua definisi yang apa yang hendak menggabungkan dengan apa.","Here I am finally understand why we drill all definitions of what to combine it with what.",0.90502793296089,0.79111644657863,"di sini saya akhirnya memahami mengapa kita menggeram semua definisi apa yang perlu dipadukan dengan apa.","here I finally understand why we growl all the definitions of what needs to be combined with what.",0.88770053475936,0.72286238278141,"di sini aku akhirnya mengerti kenapa kita bor semua definisi apa untuk bergabung dengan apa .","here I finally understand why we drill all the definition of what to combine with what .",0.97175141242938,0.87398692810458
﻿en-ms,"scientists argue that if Walmart raises the average salary to 12 dollars / hour , it will cost the corporation 3.2 billion dollars .","saintis berpendapat bahawa jika Walmart menimbulkan gaji purata hingga 12 ringgit/jam, kos perbadanan 3.2 bilion dolar.","scientists are of the opinion that if Walmart raise salaries average to 12 dollars/hour, cost 3.2 billion dollar corporation.",0.715953307393,0.31397754137116,"ahli sains berhujah bahawa jika Walmart menaikkan gaji purata kepada 12 dolar / jam, ia akan menanggung perbelanjaan 3.2 billion dolar.","Scientists argue that if Walmart raises the average salary to 12 dollars / hour, it will bear the cost of 3.2 billion dollars.",0.90697674418605,0.84407821706088,"saintis menyatakan bahwa jika Walmart menimbulkan gaji rata 12 dolar / jam , ia akan kos corporation 3.2 bilion dolar .","scientists stated that if Walmart raises the average wage of 12 dollars / hour , it will cost the corporation 3.2 billion dollars .",0.93536121673004,0.85081254724112
﻿en-ms,"Patek was yesterday sentenced to 20 years in jail .","Patek semalam dijatuhi hukuman 20 tahun dalam penjara.","Patek today was sentenced to 20 years in prison.",0.74747474747475,0.64110492681921,"Patek semalam dihukum penjara 20 tahun.","Patek was sentenced to 20 years in prison.",0.79569892473118,0.68617242815494,"Patek kemarin dihukum 20 tahun di dalam penjara .","Patek yesterday sentenced to 20 years in prison .",0.88,0.78677398989899
﻿en-ms,"Islamist Mohamed Morsi promised a "" new Egypt "" as he took the oath of office to become the country 's first freely elected president .","Islam Mohamed Morsi berjanji ""Mesir baru"" kerana dia telah mengambil sumpah untuk menjadi negara pertama yang bebas dipilih Presiden.","Islam Mohamed Morsi promised ""new Egypt"" because he took the oath to become the nation's first independent elected President.",0.81538461538462,0.52885375494071,"Islamis Mohamed Morsi menjanjikan ""Mesir baru"" kerana dia mengambil sumpah jawatan untuk menjadi presiden pertama yang dipilih secara bebas di negara itu.","Islamist Mohamed Morsi promises ""new Egypt"" as he takes his oath of office to become the first freely elected president in the country.",0.85185185185185,0.68540694353126,"Islam Mohamed Morsi berjanji baru ""Mesir"" kerana dia telah mengambil sumpah pejabat untuk menjadi negara 's pertama bebas terpilih sebagai presiden .","The islamic Mohamed Morsi promised a ""new Egypt"" as he took the oath of office to become the country 's first freely elected president .",0.95940959409594,0.91940154440154
﻿en-ms,"our lifestyle is neither unique nor the best one and would not be suitable for the people of Libya .","gaya hidup kita adalah kedua-duanya unik ataupun yang terbaik dan tidak sesuai untuk rakyat Libya.","our lifestyles are both unique or best and not suitable for the people of Libya.",0.83333333333333,0.40962068234796,"gaya hidup kita tidak unik atau yang terbaik dan tidak sesuai untuk rakyat Libya.","Our lifestyle is not unique or is best and is not suitable for Libyan people.",0.73446327683616,0.58898497951752,"hidup kami adalah tidak unik dan tidak salah satu yang terbaik dan tidak akan sesuai untuk orang-orang Libya .","our life is not unique and is not one of the best and will not be suitable for people of Libya .",0.79591836734694,0.88316831683168
﻿en-ms,"the plumber will have to go through mined platforms in order to free princess Peach .","Tukang paip yang akan perlu pergi melalui platform dilombong untuk bebas princess Peach.","A plumber will need to go through the platform mined to princess Peach.",0.80769230769231,0.52770700636943,"tukang paip perlu melalui platform yang ditambang untuk membebaskan puteri Peach.","Plumbers need to go through a platform that is mined to free peach princesses.",0.68711656441718,0.36230948075433,"tukang paip akan memiliki untuk pergi melalui ditambang platform untuk membebaskan putri Peach .","the plumber will have to go through the mined platform to free princess Peach .",0.91463414634146,0.87023488640739
﻿en-ms,"barricades were set up at Cortlandt Street .","barricades telah ditubuhkan di Cortlandt Street.","barricades were set up at the Cortlandt Street.",0.94505494505495,0.8405612244898,"barikade ditubuhkan di Cortlandt Street.","The barricade was founded on Cortlandt Street.",0.68888888888889,0.12658227848101,"tambak telah ditetapkan di Cortlandt Jalan .","barricades have been set at Cortlandt Street .",0.86666666666667,0.63888888888889
﻿en-ms,"the UN Model Law for International Trade Law Uniformity was created for this purpose .","PBB Model undang-undang untuk keseragaman undang-undang Perdagangan Antarabangsa telah dicipta untuk tujuan ini.","The UN Model Law for uniformity of the law of international trade has been created for this purpose.",0.70967741935484,0.87901827397626,"Undang-undang Model PBB untuk Kesatuan Undang-undang Perdagangan Antarabangsa telah diwujudkan untuk tujuan ini.","The UN Model Law for the Union of International Trade Laws has been created for this purpose.",0.80446927374302,0.77485380116959,"PBB Model undang-Undang Antarabangsa undang-Undang Perdagangan Keseragaman dibuat untuk tujuan ini .","The UN Model law International Trade law of Uniformity is made for this purpose .",0.8502994011976,0.75
﻿en-ms,"a seven-year-old boy was knocked down and seriously injured by a car .","seorang budak lelaki berusia tujuh tahun mengetuk dan cedera parah oleh sebuah kereta.","a seven-year-old boy and seriously injured by knocking on a car.",0.77611940298507,0.67226080246914,"seorang budak lelaki berusia tujuh tahun telah jatuh dan cedera parah oleh sebuah kereta.","a seven-year-old boy had fallen and was seriously injured by a car.",0.83211678832117,0.72674418604651,"tujuh tahun anak laki-laki telah dilanggar dan cedera parah oleh sebuah mobil .","seven-year-old boy was hit and seriously injured by a car .",0.86821705426357,0.732421875
﻿en-ms,"he catches the way the war has unleashed uniquely uncontrollable forces .","Dia menangkap cara perang telah mengeluarkan kuasa-kuasa yang unik yang tidak terkawal.","He captures the way the war has produced unique powers uncontrolled.",0.72340425531915,0.47268907563025,"dia menangkap cara perang melepaskan kuasa unik yang tidak terkawal.","he captures the way of war releasing unbridled unique power.",0.58646616541353,0.16949152542373,"dia menangkap cara perang telah melepaskan unik yang tidak terkawal daya .","he catches the way the war has unleashed unique uncontrollable force .",0.97902097902098,0.82208333333333
﻿en-ms,"on the asphalt covering is placed a final layer which is made of a fine stone material .","atas asfalt yang meliputi diletakkan lapisan akhir yang diperbuat daripada bahan batu halus.","on the asphalt covering placed a final layer is made of the fine stone.",0.85534591194969,0.764146567718,"pada penutup asfalt ditempatkan lapisan akhir yang dibuat dari bahan batu halus.","on the cover of the asphalt placed the final layer made of fine stone material.",0.75449101796407,0.71716822322149,"di aspal meliputi diletakkan lapisan terakhir yang dibuat dari batu halus bahan .","on the asphalt covering is laid the last layer of which is made from fine stone materials .",0.84916201117318,0.74716553287982
﻿en-ms,"if they have no status , there will be no testing .","Jika mereka mempunyai status tiada, akan ada ujian.","If they have no status, there will be a test.",0.89583333333333,0.63559322033898,"jika mereka tiada status, tidak akan ada ujian.","if they have no status, there will be no test.",0.94845360824742,0.72923205691567,"jika mereka tidak punya status , tidak akan ada ujian .","if they don't have status , there will be no test .",0.88235294117647,0.69041666666667
﻿en-ms,"I started a music club with a colleague .","Saya memulakan sebuah kelab muzik dengan rakan sekerja.","I started a music club with co-workers.",0.8,0.66919191919192,"Saya memulakan sebuah kelab muzik dengan rakan sekerja.","I started a music club with co-workers.",0.8,0.66919191919192,"Aku mulai muzik kelab dengan rakan sekerja .","I started a music club with a colleague .",1,0.99451303155007
﻿en-ms,"they have been put forward by experts .","mereka telah telah dikemukakan oleh pakar-pakar.","they have been submitted by the experts.",0.75949367088608,0.47088607594937,"mereka telah dikemukakan oleh pakar.","they have been submitted by experts.",0.8,0.57179487179487,"mereka telah dimasukkan ke hadapan dengan pakar .","they have been put forward by experts .",1,0.9921875
﻿en-ms,"one day , I asked myself why swimming baths always have to be so ugly .","satu hari, saya bertanya kepada diri sendiri mengapa baths renang perlu sentiasa jadi hodoh.","one day, I asked myself why baths swimming should always so ugly.",0.79411764705882,0.56950625132443,"Pada suatu hari, saya bertanya kepada diri sendiri mengapa mandi renang selalu menjadi sangat hodoh.","One day, I asked myself why bathing was always very ugly.",0.765625,0.40725806451613,"satu hari , aku bertanya pada diriku mengapa berenang mandi perlu selalu menjadi begitu jelek .","one day , I asked myself why swimming baths always have to be so ugly .",1,0.9921875
﻿en-ms,"it took the name of IBM in 1924 a brand used for company 's branches in Canada and South America .","Ia mengambil nama IBM pada tahun 1924 merupakan jenama yang digunakan untuk cawangan-cawangan Syarikat di Kanada dan Amerika Selatan.","It takes the name IBM in 1924 is the brand name used for the company's branches in Canada and South America.",0.86407766990291,0.83193709582598,"ia mengambil nama IBM pada tahun 1924 jenama yang digunakan untuk cawangan syarikat di Kanada dan Amerika Selatan.","it took the IBM name in 1924 the brand used for branch companies in Canada and South America.",0.81675392670157,0.74058348429952,"ia mengambil nama IBM pada tahun 1924 jenama digunakan untuk syarikat 's cawangan di Kanada dan Amerika Selatan .","it took the name IBM in 1924 the brand used for the company 's branches in Canada and South America .",0.94472361809045,0.99325126876147
﻿en-ms,"the consequence of a sequester on the Defense Department would set off a swift decline of the United States .","akibat daripada sequester pada Jabatan Pertahanan akan menolak penurunan pantas di Amerika Syarikat.","as a result of sequester at Department of Defense will deduct decreases rapidly in the United States.",0.59047619047619,0.22842639593909,"akibat dari penceroboh di Jabatan Pertahanan akan menembusi penurunan pantas Amerika Syarikat.","the consequences of intruders in the Department of Defense will break the rapid decline of the United States.",0.71559633027523,0.43069584736251,"akibat mengasingkan di Jabatan Pertahanan akan berangkat pantas penurunan Amerika Serikat .","the consequences of the isolate in the Department of Defense will go fast decline of the United States .",0.73239436619718,0.50459397579614
﻿en-ms,"the medical community thought of gender as a slate .","pemikiran masyarakat perubatan jantina sebagai bertanding bersama-sama.","thinking of the medical community gender as a slate.",0.76923076923077,0.75757575757576,"komuniti perubatan memikirkan gender sebagai batu tulis.","the medical community thinks gender as a slate.",0.86868686868687,0.68617242815494,"masyarakat perubatan pikir gender sebagai slate .","the medical community thought of gender as a slate .",1,0.996
﻿en-ms,"decay has been stopped in the Black Forest .","reput telah berhenti di Black Forest.","decay has stopped in the Black Forest.",0.92682926829268,0.764146567718,"kerosakan telah dihentikan di Black Forest.","damage has been halted in the Black Forest.",0.82758620689655,0.63202247191011,"kerosakan yang telah berhenti di Black Forest .","the damage has stopped in the Black Forest .",0.81818181818182,0.86545138888889
