Language,"Source Text","Source Text Total Google Results","Source Text Total Google Results (limited by total queries sent)","Bing Translate #1","Bing Translate #2","Bing Score (RTT with similar_text)","Bing Score (RTT with meteor)","Bing Score (RTT with GoogleSearch)","Bing Total Google Results","Bing Total Intersected Links","Google Translate #1","Google Translate #2","Google Score (RTT with similar_text)","Google Score (RTT with meteor)","Google Score (RTT with GoogleSearch)","Google Total Google Results","Google Total Intersected Links","Yandex Translate #1","Yandex Translate #2","Yandex Score (RTT with similar_text)","Yandex Score (RTT with meteor)","Yandex Score (RTT with GoogleSearch)","Yandex Total Google Results","Yandex Total Intersected Links"
﻿en-ar,"he recalled that a large number of countries has now completed the digital transition .",523000,50,"وأشار إلى أن عدد كبير من البلدان قد استكملت الآن التحول الرقمي.","He noted that a large number of countries have now completed digital switch.",0.82208588957055,0.63344594594595,0.08,773000,4,"أشار إلى أن عددا كبيرا من البلدان قد أنجز الآن الانتقال الرقمي.","He noted that a large number of countries had now completed the digital transition.",0.91764705882353,0.79045488441462,0.14,773000,4,"وأشار إلى أن عددا كبيرا من البلدان قد أكملت الآن التحول الرقمي .","He pointed out that a large number of countries have now completed the digital transformation .",0.85714285714286,0.77998528329654,0.02,1290000,7
﻿en-ar,"one can understand the attempt at making the game more interesting and adrenalin-filled .",84700,50,"يمكننا أن نفهم أن محاولة جعل اللعبة أكثر إثارة للاهتمام ومليئة الأدرينالين.","We can understand that trying to make the game more interesting and full of adrenaline.",0.78409090909091,0.45013750180923,0.04,3460000,2,"يمكن للمرء أن يفهم محاولة لجعل اللعبة أكثر إثارة للاهتمام والأدرينالين مليئة.","One can understand trying to make the game more interesting and filled with adrenaline.",0.76136363636364,0.53571428571429,0.08,3460000,2,"يمكن للمرء أن يفهم محاولة لجعل اللعبة أكثر إثارة للاهتمام و الأدرينالين مليئة .","One can understand the attempt to make the game more interesting and adrenaline-filled .",0.94915254237288,0.77774498229044,0.14,1090000,4
﻿en-ar,"these projects have helped to contain the insurgency : irrigation , wells , drinking water , reforestation , fruit trees , soil protection and increase in cultivable areas .",0,0,"وقد ساعدت هذه المشاريع على احتواء التمرد: الري والآبار، ومياه الشرب، وإعادة التحريج، أشجار الفاكهة، حماية التربة وزيادة في المساحات الصالحة للزراعة.","These projects have helped to contain the rebellion: irrigation wells and drinking water, reforestation, fruit trees, soil protection and increase in arable areas.",0.89285714285714,0.54329947941618,0,0,0,"وقد ساعدت هذه المشاريع على احتواء التمرد: الري والآبار ومياه الشرب وإعادة التحريج وأشجار الفاكهة وحماية التربة وزيادة المناطق الصالحة للزراعة.","These projects have helped contain the insurgency: irrigation, wells, drinking water, reforestation, fruit trees, soil protection and the increase of arable areas.",0.91666666666667,0.48970848056537,0,0,0,"وقد ساعدت هذه المشاريع على احتواء التمرد : الري ، آبار مياه الشرب وإعادة التحريج أشجار الفاكهة حماية التربة وزيادة في المناطق الصالحة للزراعة .","These projects have helped contain the rebellion : irrigation, drinking water wells, reforestation, and fruit trees to protect the soil and an increase in areas suitable for agriculture .",0.73888888888889,0.56955218043152,0,0,0
﻿en-ar,"the foreign minister deplored the fact that efforts to mediate did not meet with success .",23800,50,"وزير الخارجية أعرب عن أسفه لحقيقة أن جهود الوساطة لم تكلل بالنجاح.","The Foreign Minister regretted the fact that the mediation efforts were unsuccessful.",0.65142857142857,0.48076923076923,0.04,9030,2,"اعرب وزير الخارجية عن اسفه لان جهود الوساطة لم تحقق النجاح.","The foreign minister expressed regret that mediation efforts had not been successful.",0.68571428571429,0.27332621082621,0.06,9030,2,"وزير الخارجية أعرب عن استيائه من أن جهود الوساطة لم تكلل بالنجاح .","The Foreign Minister deplored the fact that the mediation efforts were unsuccessful .",0.70857142857143,0.62834394904459,0.18,9180,3
﻿en-ar,"this week Standard & Poor 's cited increasing household leverage as a risk factor .",126000,50,"استشهد هذا الأسبوع معيار & الفقراء لزيادة نفوذ الأسرة المعيشية كعامل خطر.","He cited this week standard & poor to increase the influence of the household as a risk factor.",0.70786516853933,0.62631664235942,0.14,690000,7,"أشارت ستاندرد آند بورز هذا الأسبوع إلى زيادة النفوذ الأسري كعامل خطر.","This week S & P pointed to increased family influence as a risk factor.",0.64935064935065,0.4713716442953,0,690000,7,"هذا الأسبوع Standard & poor 's استشهد زيادة المنزلية النفوذ كعامل خطر .","This week Standard & poor 's cited increased household leverage as a risk factor .",0.94545454545455,0.91207482993197,0.82,1920000,0
﻿en-ar,"while in the church eyes will also turn to the last supper painting , painted by Friedrich Schüz with the support of Walter Kröll and Georg Halbritter .",0,0,"أثناء وجوده في الكنيسة أيضا سوف تتحول العيون إلى آخر اللوحة العشاء، رسمت بمؤسسة فريدريش Schüz بالدعم من والتر كريل وجورج هالبريتير.","While in the Church also will turn eyes to another dinner plate, painted by Friedrich Schüz support from Walter Creel and Jorge halbritir.",0.74402730375427,0.45909090909091,0,0,0,"بينما في عيون الكنيسة سوف تتحول أيضا إلى آخر العشاء العشاء، رسمها فريدريش شوز بدعم من والتر كرول وجورج هالبريتر.","While in the eyes of the church will also turn into another supper dinner, painted by Friedrich Schuetz with the support of Walter Kroll and George Halperter.",0.82692307692308,0.61841397849462,0,0,0,"بينما في الكنيسة العيون سوف تتحول أيضا إلى العشاء الأخير اللوحة رسمت من قبل فريدريش Schüz بدعم من والتر كرول و جورج Halbritter .","While in the church's eyes will also turn to the Last Supper painting was painted by Friedrich Schüz with the support of Walter Kroll and George Halbritter .",0.94871794871795,0.8465091765873,0,0,0
﻿en-ar,"the great physical effort of Marcus Blasutto 's TSV team proved decisive .",0,0,"جهد بدني كبير لفريق TSV ماركوس بلاسوتو ثبت حاسمة.","Great physical effort for team TSV Marcus blasoto proved decisive.",0.74285714285714,0.49704724409449,0,0,0,"أثبتت الجهود الجسدية الكبيرة لفريق تسف ماركوس بلاسوتو حاسمة.","The great physical efforts of Marcos Plasotto's team proved crucial.",0.8169014084507,0.40244969378828,0,0,0,"عظيم الجهد البدني ماركوس Blasutto 's TSV أثبت فريق حاسمة .","Great physical effort Marcus Blasutto 's TSV team proved decisive .",0.93617021276596,0.85065857438017,0,0,0
﻿en-ar,"the sequester is a threat and it should not be allowed to occur .",137000,50,"خفض يشكل تهديدا وأنه لا ينبغي أن يحدث.","Slash is a threat and it should not happen.",0.62962962962963,0.5124716553288,0,445000,0,"فإن الحجز يعتبر تهديدا ويجب ألا يسمح به.","Detention is a threat and must not be permitted.",0.56637168141593,0.41666666666667,0,445000,0,"تنحية تهديدا لا ينبغي أن يسمح لها أن تحدث .","The sequester threat should not be allowed to occur .",0.88135593220339,0.71176470588235,0.84,109000,0
﻿en-ar,"Dr. Jan Gadomski became promoter of astronomy and astronautics .",0,0,"وأصبح الدكتور يان جادومسكي مروج لعلم الفلك وعلوم الفضاء.","Dr Jan gadomski became promoter of astronomy and space science.",0.83464566929134,0.79375,0,0,0,"أصبح الدكتور جان جادومسكي مروجا لعلم الفلك والملاحة الفضائية.","Dr. Jan Jadomski became a promoter of astronomy and astronautics.",0.96124031007752,0.75,0,0,0,"الدكتور يان Gadomski أصبح المروج علم الفلك والملاحة الفضائية .","Dr. Jan Gadomski became a promoter of astronomy and Astronautics .",0.96923076923077,0.97673267326733,0,0,0
﻿en-ar,"they 're not all experienced racers .",4840000,50,"أنهم ليسوا جميع المتسابقين ذوي الخبرة.","They are not all experienced racers.",0.93150684931507,0.6463768115942,0.5,6200000,25,"انهم 'ليس كل المتسابقين من ذوي الخبرة.","They're not all experienced runners.",0.87671232876712,0.37581699346405,0.02,6200000,25,"أنها 'إعادة ليس كل المتسابقين من ذوي الخبرة .","They 're not all experienced racers .",0.97297297297297,0.98833819241983,0.98,7340000,1
﻿en-ar,"IBM easily builds its foundations on many platforms .",505000,50,"أي بي أم بسهولة يبني أسسها على العديد من الأنظمة الأساسية.","IBM is easily built its foundations on many platforms.",0.93457943925234,0.70521541950113,0.52,1410000,26,"عب يبني بسهولة أسسه على العديد من المنصات.","AR builds easily based on many platforms.",0.61702127659574,0.42272727272727,0,1410000,26,"IBM بسهولة يبني أسسه على العديد من المنصات .","IBM easily builds its foundations on many platforms .",1,0.99451303155007,0.9,2940000,0
﻿en-ar,"the changes will have little impact on multinationals ' profits .",616000,50,"التغييرات فيها أثر كبير على أرباح الشركات المتعددة الجنسيات.","The changes will have little impact on the profits of multinational corporations.",0.72602739726027,0.77521966410855,0.54,910000,27,"فإن التغييرات لن يكون لها تأثير يذكر على أرباح الشركات متعددة الجنسيات.","The changes will have little impact on the profits of multinationals.",0.7910447761194,0.85227272727273,0.76,910000,27,"التغييرات التي سوف يكون لها تأثير يذكر على الشركات متعددة الجنسيات ' الأرباح .","The changes that will have little impact on multinationals ' profits .",0.94814814814815,0.94445685354776,0.88,652000,38
﻿en-ar,"its US business had recovered its losses during its seasonally weaker first half .",61200,50,"عمله الولايات المتحدة استعادت خسائرها في النصف الأول أضعف موسميا.","United States currency recovered its losses in the first half, weaker than seasonally.",0.53571428571429,0.25179856115108,0.3,34600,15,"تعافى نشاطها في الولايات المتحدة خسائرها خلال النصف الأول من موسمها الأضعف.","The United States recovered its losses during the first half of its weaker season.",0.60975609756098,0.38002232142857,0.24,34600,15,"الولايات المتحدة الأعمال قد تعافى من خسائره خلال موسميا الأضعف في الشوط الأول .","The US business had recovered from its losses during the seasonally weakest in the first half .",0.85875706214689,0.70681384730972,0.2,2690000,12
﻿en-ar,""" as long as we can ski in winter and go hiking in summer , "" says Anna .",0,0,"ويقول أنا ""طالما أننا يمكن للتزلج في فصل الشتاء وتذهب المشي لمسافات طويلة في فصل الصيف"".","And I say ""as long as we can to ski in the winter and go hiking in the summer.""",0.75,0.69078947368421,0,0,0,"""طالما أننا يمكن التزلج في فصل الشتاء والذهاب المشي لمسافات طويلة في الصيف""، ويقول آنا.","""As long as we can ski in the winter and go hiking in the summer,"" says Anna.",0.90666666666667,0.71170212765957,0,0,0,"""طالما أننا يمكن التزلج في فصل الشتاء و تذهب المشي لمسافات طويلة في فصل الصيف"" ، ويقول آنا .","""As long as we can ski in winter and go hiking in the summer,"" says Anna .",0.93877551020408,0.8154296875,0,0,0
﻿en-ar,"Alex Pourbax says the company remains confident .",53,42,"ويقول أليكس بورباكس الشركة ما زالت واثقة.","Alex borbax says the company is still confident.",0.84536082474227,0.465,0,0,0,"يقول أليكس بورباكس الشركة لا تزال واثقة.","Alex Borbax says the company is still confident.",0.84536082474227,0.465,0,0,0,"أليكس Pourbax يقول أن الشركة لا تزال ثقة .","Alex Pourbax says that the company is still confident .",0.84615384615385,0.77401692384271,0.73809523809524,0,0
﻿en-ar,"it is introduced inside the 1-metre wide pipeline .",80600,50,"هو عرض داخل أنابيب واسعة 1 مترا.","He displayed inside a large pipe 1 m.",0.52272727272727,0.056179775280899,0.06,14600000,3,"يتم عرضه داخل خط أنابيب واسعة 1 متر.","It is displayed inside a 1 meter wide pipeline.",0.75510204081633,0.41333333333333,0.4,14600000,3,"فمن قدم داخل 1 متر واسعة الانابيب .","It is made within 1 meter wide pipes .",0.62921348314607,0.35069444444444,0.08,91400,20
﻿en-ar,"Brent crude , fell 26 cents to $ 108.58 a barrel on the ICE exchange in London .",0,0,"برنت، سقط 26 سنتا إلى 108.58 دولار للبرميل الواحد في تبادل الجليد في لندن.","Brent, fell 26 cents to $108.58 a barrel on the ice Exchange in London.",0.88741721854305,0.77733650278293,0,0,0,"خام برنت، انخفض 26 سنتا إلى 108.58 $ للبرميل على بورصة أيس في لندن.","Brent crude, fell 26 cents to $ 108.58 a barrel on the London Stock Exchange.",0.81528662420382,0.71716822322149,0,0,0,"برنت الخام انخفض بنسبة 26 سنتا إلى دولار 108.58 للبرميل على الجليد الصرف في لندن .","Brent crude fell by 26 cents to $ 108.58 a barrel on the ice exchange in London .",0.93167701863354,0.91147635524798,0,0,0
﻿en-ar,"we have not yet grown tired .",7020000,50,"ونحن قد لا بعد تعب.","We may not yet tired.",0.72,0.29411764705882,0.08,26400000,4,"ونحن لم تتعب بعد.","We have not tired yet.",0.70588235294118,0.54705882352941,0.08,26400000,4,"نحن لم نمت بعد تعب .","We have not yet grown tired .",0.96551724137931,0.98833819241983,0.92,22900000,4
﻿en-ar,"Mark Cancian warned them that people outside the military would view their service from two perspectives .",77,42,"وحذر مارك كانسيان لهم أن الناس خارج الجيش عرض خدماتهم من منظورين.","Mark warned them that people outside quintianus army offered their services from two perspectives.",0.80392156862745,0.56137724550898,0,0,0,"وحذرهم مارك كانسيان من أن الناس خارج الجيش سوف ينظرون إلى خدمتهم من منظورين.","Mark Kansian warned them that people outside the military would look at their service from two perspectives.",0.92523364485981,0.81392557022809,0,0,0,"مارك Cancian حذر منهم أن الناس خارج الجيش عرض خدمة من منظورين .","Mark Cancian warned them that people outside the military services from two perspectives .",0.90816326530612,0.77365978102966,0.92857142857143,2930,0
﻿en-ar,"Bombardier 's net profit fell to $ 147 million from $ 172 million .",185,50,"صافي الأرباح بومباردييه انخفضت بمبلغ 147 مليون من مبلغ 172 مليون.","Net profits declined by $147 million Bombardier of $172 million.",0.65648854961832,0.22058823529412,0.5,197,25,"وانخفض صافي أرباح بومباردييه إلى 147 مليون $ من 172 مليون $.","Bombardier's net profit fell to $ 147 million from $ 172 million.",0.98484848484848,0.73242304467601,0.78,197,25,"بومباردييه 's انخفض صافي الربح إلى 147 مليون دولار من 172 مليون دولار .","Bombardier's net profit fell to $ 147 million from $ 172 million .",0.99248120300752,0.80935251798561,0.8,200,39
