Language,"Source Text","Source Text Total Google Results","Source Text Total Google Results (limited by total queries sent)","Bing Translate #1","Bing Translate #2","Bing Score (RTT with similar_text)","Bing Score (RTT with meteor)","Bing Score (RTT with GoogleSearch)","Bing Total Google Results","Bing Total Intersected Links","Google Translate #1","Google Translate #2","Google Score (RTT with similar_text)","Google Score (RTT with meteor)","Google Score (RTT with GoogleSearch)","Google Total Google Results","Google Total Intersected Links","Yandex Translate #1","Yandex Translate #2","Yandex Score (RTT with similar_text)","Yandex Score (RTT with meteor)","Yandex Score (RTT with GoogleSearch)","Yandex Total Google Results","Yandex Total Intersected Links"
﻿en-sv,"the fingerprinting science can be key solution in solving crimes .",31600,50,"fingeravtryck vetenskapen kan vara nyckel lösning i att lösa brott.","fingerprint science can be key solution in solving crimes.",0.93548387096774,0.7349537037037,0.88,31800,44,"fingeravtrycksvetenskapen kan vara en nyckellösning för att lösa brott.","fingerprint science can be a key solution for resolving crimes.",0.86821705426357,0.46890927624873,0.68,31800,44,"fingeravtryck vetenskap kan vara viktig lösning för att lösa brott .","fingerprint science can be important solution to solve the crimes .",0.76691729323308,0.52040816326531,0.54,39100,34
﻿en-sv,"we would have had a President since September .",74000000,50,"Vi hade en President sedan September.","We had a President since September.",0.82926829268293,0.64655172413793,0.38,73600000,19,"Vi skulle ha haft en president sedan september.","We would have had a president since September.",0.94623655913978,0.89185393258427,0.96,73600000,19,"vi skulle ha haft en Ordförande sedan September .","we would have had a President since September .",1,0.99451303155007,1,73900000,48
﻿en-sv,"I 'll bet the Daft Punk space men will make it into our Instagram feeds this year .",5470,50,"Jag slår Daft Punk rymden männen kommer att göra det till vår Instagram feeds i år.","I bet Daft Punk space men will make it to our Instagram feeds in years.",0.8961038961039,0.65344475831764,0.1,38600,5,"Jag ska satsa på Daft Punk Space-männen kommer att göra det till våra Instagram-flöden i år.","I'll bet on Daft Punk Space men will do it to our Instagram feeds this year.",0.89308176100629,0.64977372034956,0.48,38600,5,"I 'll bet Daft Punk utrymme män kommer att göra det i vår Instagram-flöden i år .","I'll bet Daft Punk space men will make it in our Instagram feeds this year .",0.9559748427673,0.77734464572346,0.26,3750,24
﻿en-sv,"sausages occur more frequently on the tables of obese children compared to the families of children with standard weight .",89100,50,"korv inträffar oftare på borden av feta barn jämfört med barn familjer med standard vikt.","sausage occurs more often at the tables of obese children compared with families with standard weight.",0.84821428571429,0.57397959183673,0.54,26800,27,"korv förekommer oftare på tabellerna av överviktiga barn jämfört med barnfamiljer med standardvikt.","Sausages are more commonly found on the tables of obese children compared to standard families with children.",0.72727272727273,0.64435926654926,0.32,26800,27,"korv förekommer oftare på borden överviktiga barn jämfört med familjer med barn med standard vikt .","sausage occurs more frequently on the tables of obese children compared with families with children with standard weight .",0.94262295081967,0.83549234059571,0.74,103000,16
﻿en-sv,"this especially concerns accidents with large number of participants .",2440000,50,"Detta gäller särskilt olyckor med stort antal deltagare.","This applies especially to accidents with large numbers of participants.",0.85915492957746,0.57244897959184,0.2,1020000,10,"Detta gäller särskilt olyckor med ett stort antal deltagare.","This is especially true of accidents involving a large number of participants.",0.78378378378378,0.52159926470588,0.24,1020000,10,"detta rör framför allt olyckor med stort antal deltagare .","this concerns, above all, accidents with large number of participants .",0.83687943262411,0.85197408629752,0.32,2360000,12
﻿en-sv,"Szabo is also a member of the German Marshall Fund .",3840,50,"Szabo är också medlem i den Tysk Marshallfond.","Szabo is also a member of the German Marshall Fund.",0.99029126213592,0.91376146788991,0.96,3840,48,"Szabo är också medlem i den tyska marshallfonden.","Szabo is also a member of the German Marshall Foundation.",0.93577981651376,0.8211575489863,0.86,3840,48,"Szabo är också medlem av German Marshall Fund .","Szabo is also a member of the German Marshall Fund .",1,0.99699474079639,0.98,6270,43
﻿en-sv,"I 'll go on working two more years .",469000000,50,"Jag kommer arbeta två år.","I will work for two years.",0.64516129032258,0.17241379310345,0.18,463000000,9,"Jag ska fortsätta arbeta två år tillbaka.","I will continue to work two years back.",0.64,0.1685393258427,0,463000000,9,"Jag kommer att jobba två år till .","I will be working for two more years .",0.81081081081081,0.5679012345679,0.4,217000000,0
﻿en-sv,"these changes in social norms have contributed to increasing numbers of people who are single .",2800000,50,"dessa förändringar i sociala normer har bidragit till allt fler människor som är ensamstående.","These changes in social norms have contributed to an increasing number of people who are single.",0.96335078534031,0.86479591836735,0.78,5160000,39,"Dessa förändringar i sociala normer har bidragit till ett ökande antal enskilda personer.","These changes in social standards have contributed to an increasing number of individuals.",0.77837837837838,0.52410159628843,0.02,5160000,39,"dessa förändringar i sociala normer har bidragit till att öka antalet människor som är singel .","these changes in social norms have contributed to increase the number of people who are single .",0.95287958115183,0.86528710863227,0.8,41400000,1
﻿en-sv,"I find it wonderful that in America , myth and folklore already has a part in education .",327000,50,"Jag tycker att det är fantastiskt att i Amerika, myt och folklore har redan en del i utbildningen.","I think it is wonderful that in America, myth and folklore is already part of the training.",0.78888888888889,0.496329470428,0.22,119000,11,"Jag tycker det är underbart att i Amerika har myt och folklore redan en del i utbildningen.","I think it's wonderful that in America, myth and folklore are already part of the education.",0.85082872928177,0.49911783823939,0.52,119000,11,"Jag tycker att det är underbart att i Amerika , myt och folktro har redan en del i utbildningen .","I think it is wonderful that in America , myth, and folklore already has a part in the training .",0.88172043010753,0.85594093406593,0.24,258000,26
﻿en-sv,"the reach and technical sophistication have come as a shock to some companies .",118000,50,"reach- och teknisk förfining har kommit som en chock för vissa företag.","the reach and technological sophistication has come as a shock to some companies.",0.95,0.77234080504192,0.58,98600,29,"Räckvidd och teknisk sofistikering har kommit som en chock för vissa företag.","Scope and technical sophistication have come as a shock to some companies.",0.91503267973856,0.79470595280872,0.3,98600,29,"reach och teknisk finess har kommit som en chock för vissa företag .","the reach and technological sophistication has come as a shock for some companies .",0.93827160493827,0.74881936245573,0.56,50900,15
﻿en-sv,"right at the beginning of 1990 , visa requirements were cancelled .",79900,50,"alldeles i början av 1990, ställdes visumkrav in.","right at the beginning of 1990, the visa requirement was put in.",0.80916030534351,0.625,0.18,1070000,9,"strax i början av 1990 avbröts viseringskravet.","Immediately in the beginning of 1990, the visa requirement was terminated.",0.72340425531915,0.42950513538749,0.12,1070000,9,"precis i början av 1990-talet , visum krav ställdes in .","just like in the beginning of the 1990s , a visa requirement was canceled .",0.7887323943662,0.51601128256181,0.32,66800,6
﻿en-sv,"a senior military officer at the gala saw the troops "" role differently .",1830,50,"en ledande militär officer vid galan såg soldaterna ”roll annorlunda.","a senior military officer at the Gala saw the soldiers ' role differently.",0.89795918367347,0.84732214228617,0.7,1460,35,"en högre militär officer vid galen såg truppernas roll olika.","A higher military officer at the crazy saw the role of troops differently.",0.77551020408163,0.53525179856115,0.02,1460,35,"en senior officer på galan såg trupper "" roll på olika sätt .","a senior officer at the gala event saw the troops ' role in different ways .",0.83221476510067,0.79225352112676,0.16,28200,1
﻿en-sv,"we have so far managed it without any problems .",24700000,50,"Vi har hittills klarat det utan problem.","So far we have managed it without a problem.",0.80434782608696,0.64110492681921,0.38,14100000,19,"vi har hittills lyckats det utan några problem.","We have managed so far without any problems.",0.80434782608696,0.71667729591837,0.46,14100000,19,"vi har hittills klarat av det utan några problem .","so far we have managed it without any problems .",0.85416666666667,0.968,0.48,31400000,23
﻿en-sv,"there 's production there and a mafia has formed .",407000,50,"finns produktion det och en maffia har bildats.","see production there and a mafia has formed.",0.91489361702128,0.64764681382757,0.72,323000,36,"Det finns produktion där och en mafia har bildats.","There is production there and a mafia has been formed.",0.90384615384615,0.75,0.72,323000,36,"det 's produktion och maffian har bildats .","it's the production and the mafia has been formed .",0.75247524752475,0.42638888888889,0.42,336000,36
﻿en-sv,"a lot of activists are concerned that what the German rule will do is encourage parents to make quick decisions .",62500,50,"en massa aktivister berörs att vad tyska regeln gör är att uppmuntra föräldrar att fatta snabba beslut.","a lot of activists concerned that what German rule does is to encourage parents to make quick decisions.",0.91244239631336,0.77846313290875,0.82,70500,41,"många aktivister är oroade över att det som den tyska regeln kommer att göra är att uppmuntra föräldrar att fatta snabba beslut.","Many activists are worried that what the German rule will do is to encourage parents to make quick decisions.",0.9009009009009,0.79934122970455,0.48,70500,41,"en hel del aktivister är orolig för att vad den tyska regeln kommer att göra är att uppmuntra föräldrar att fatta snabba beslut .","a lot of activists are concerned that what the German rule will do is encourage parents to make quick decisions .",1,0.99956808120073,1,41000,24
﻿en-sv,"the Turkish Community of Germany reacted calmly , remembering the victims during a silent vigil .",310,50,"Tysklands turkiska gemenskapen reagerat lugnt, att minnas offren under en tyst vaka.","Germany's Turkish community reacted calmly, to remember the victims in a silent vigil.",0.80874316939891,0.43838955728552,0.7,227,35,"Tysklands turkiska gemenskap reagerade lugnt och kom ihåg offren under en tyst vaksamhet.","The Turkish community of Germany reacted calmly and remembered the victims in silent vigilance.",0.875,0.59335443037975,0.06,227,35,"den turkiska Samhället i Tyskland reagerade lugnt , minnas offren under en tyst vaka .","the Turkish Community in Germany reacted calmly , remembering the victims during a silent vigil .",0.97938144329897,0.92013888888889,0.8,104,3
﻿en-sv,"during the trial , Kana admitted to having been in a bar .",39800,50,"under rättegången erkände Kana till att ha varit i en bar.","during the trial, admitted Kana to having been in a bar.",0.89473684210526,0.78964359504132,0.54,7340,27,"under rättegången erkände Kana att han hade varit i en bar.","During the trial, Kana acknowledged that he had been in a bar.",0.76666666666667,0.54445251937984,0.06,7340,27,"under rättegången , Kana erkände att ha varit i en bar .","during the trial , Kana admitted to having been in a bar .",1,0.98543468365954,0.96,1780,3
﻿en-sv,"the passing of the bill comes amid a string of measures to reinforce national security .",4700,50,"bortgången av räkningen kommer mitt i en rad åtgärder för att stärka nationell säkerhet.","the passing of the Bill comes amid a series of measures to strengthen national security.",0.88636363636364,0.8057013136839,0.02,174000,1,"Riktningen av räkningen kommer bland en rad åtgärder för att stärka den nationella säkerheten.","The bill's direction comes from a series of measures to strengthen national security.",0.69364161849711,0.33887340764331,0,174000,1,"antagandet av propositionen kommer mitt i en rad åtgärder för att stärka den nationella säkerheten .","the adoption of the bill comes amid a series of measures to strengthen national security .",0.85393258426966,0.78938609467456,0,627000,0
﻿en-sv,"Michael Schöner from Steinach presented the new logo .",13000,50,"Michael Schöner från Steinach presenterades den nya logotypen.","Michael Schöner from Steinach was presented the new logo.",0.95575221238938,0.86545138888889,0.08,144,4,"Michael Schöner från Steinach presenterade den nya logotypen.","Michael Schöner from Steinach introduced the new logo.",0.89090909090909,0.75556065122678,0.7,144,4,"Michael Schöner från Steinach fram den nya logotypen .","Michael Schöner from Steinach developed the new logo .",0.89090909090909,0.86545138888889,0.7,2150,35
﻿en-sv,"the Vollmaringen Male Voice Choir got things running .",0,0,"Vollmaringen Manskören röst fick saker kör.","Vollmaringen Mans choir voice got things running.",0.77669902912621,0.58080808080808,0,0,0,"Vollmaringen Man Voice Choir fick saker att köra.","Vollmaringen Man Voice Choir got things to drive.",0.81553398058252,0.5438202247191,0,0,0,"den Vollmaringen Manskör fick allt att fungera .","the Vollmaringen Choir got everything to work .",0.71287128712871,0.50112359550562,0,0,0
﻿en-sv,"the North Stream gasduct has been commissioned .",10500,50,"den Nord Stream gasduct har beställts.","the Nord Stream gasduct were ordered.",0.65882352941176,0.19230769230769,0.14,2400,7,"Nord Stream-gasledningen har pågått.","The Nord Stream pipeline has been running.",0.6,0.25316455696203,0.1,2400,7,"Nord Stream gasduct har fått i uppdrag .","The Nord Stream gasduct has been commissioned .",0.94736842105263,0.8405612244898,0.8,15400,5
﻿en-sv,"what separates boredom from apathy is that the person is not engaged but wants to be .",7570,50,"Vad skiljer tristess från apati är att personen inte är engagerad men vill vara.","What distinguishes the boredom from apathy is that the person is not engaged but wants to be.",0.88268156424581,0.92681525735294,0.26,7670,13,"Det som skiljer tristess från apati är att personen inte är förlovad men vill vara.","What separates sadness from apathy is that the person is not engaged but wants to be.",0.91228070175439,0.88402366863905,0.22,7670,13,"vad som skiljer tristess från apati är att personen inte är engagerade men vill vara .","what separates boredom from apathy is that the person is not engaged but wants to be .",1,0.99918583350295,1,16700,11
﻿en-sv,"my sister and I were allowed to eat candy .",7640000,50,"min syster och jag fick äta godis.","My sister and I got to eat the candy.",0.75,0.64110492681921,0.52,7080000,26,"min syster och jag fick äta godis.","My sister and I had to eat candy.",0.81578947368421,0.68617242815494,0.56,7080000,26,"min syster och jag fick äta godis .","my sister and I got to eat candy .",0.83116883116883,0.78677398989899,0.56,7080000,28
﻿en-sv,"I think it makes it more interesting for the people .",108000000,50,"Jag tror att det gör det mer intressant för människorna.","I think it makes it more interesting for people.",0.95049504950495,0.8179012345679,0.96,108000000,48,"Jag tycker att det gör det intressantare för folket.","I think it makes it more interesting for the people.",0.99047619047619,0.91376146788991,0.98,108000000,48,"Jag tror att det gör det mer intressant för människor .","I think it makes it more interesting for people .",0.96078431372549,0.90504587155963,0.98,108000000,49
﻿en-sv,"around 5 a.m. , one protester jumped on the hood of a police car .",28900,50,"runt 5 a.m., en demonstrant hoppade på motorhuven på en polisbil.","around 5 a.m., a protester jumped on the hood of a police car.",0.953125,0.83519910442987,0.84,31600,42,"runt klockan 5, hoppade en demonstrant på en polisbils huv.","around 5 o'clock, a protector jumped on a police car hood.",0.70967741935484,0.47141890749197,0,31600,42,"runt 5 på morgonen , en demonstrant hoppade upp på motorhuven på en polisbil .","around 5 in the morning , a protester jumped on the hood of a police car .",0.85714285714286,0.91198830409357,0.54,7210,0
﻿en-sv,"three quarters of all infections affect young people .",784000,50,"tre fjärdedelar av alla infektioner påverkar unga människor.","three quarters of all infections affect young people.",0.99065420560748,0.89185393258427,1,784000,50,"tre fjärdedelar av alla infektioner påverkar unga människor.","Three quarters of all infections affect young people.",0.97196261682243,0.89185393258427,1,784000,50,"tre fjärdedelar av alla infektioner som drabbar unga människor .","three quarters of all infections affect young people .",1,0.99451303155007,1,784000,50
﻿en-sv,"the mountain road from Telnice to Kninice in the Usti nad Labem region is also closed .",0,0,"mountain vägen från Telnice till Kninice i regionen Ústí nad Labem är också stängd.","mountain road from Telnice to hřensko Kninice in the region are also closed.",0.79268292682927,0.60888180822463,0,0,0,"Fjällvägen från Telnice till Kninice i regionen Usti nad Labem är också stängd.","The mountain road from Telnice to Kninice in the region of Usti nad Labem is also closed.",0.88636363636364,0.92681525735294,0,0,0,"mountain road från Telnice att Kninice i Usti nad Labem region är också stängd .","the mountain road from Telnice to Kninice in the Usti nad Labem region is also closed .",1,0.99918583350295,0,0,0
﻿en-sv,"the planned covering of the dilapidated house was not permitted for safety reasons .",28500,50,"den planera övertäckning av fallfärdiga huset tilläts inte av säkerhetsskäl.","the plan covering of the dilapidated building was not allowed for security reasons.",0.80239520958084,0.5515587529976,0.18,32800,9,"Det planerade täckandet av det förfallna huset var inte tillåtet av säkerhetsskäl.","The planned coverage of the expired house was not permitted for safety reasons.",0.89570552147239,0.77234080504192,0.06,32800,9,"den planerade täcker av det förfallna huset var av säkerhetsskäl inte tillåtna .","the planned cover of the dilapidated building was not permitted for safety reasons .",0.91666666666667,0.84126984126984,0.58,581000,3
﻿en-sv,"public respect or accessibility is one thing .",10800000,50,"allmän respekt eller tillgänglighet är en sak.","public respect or availability is one thing.",0.88888888888889,0.7120253164557,0.02,72100000,1,"Offentlig respekt eller tillgänglighet är en sak.","Public respect or accessibility is one thing.",0.96703296703297,0.87574270214415,1,72100000,1,"offentlig respekt och tillgänglighet är en sak .","public respect and accessibility are one thing .",0.8936170212766,0.63888888888889,0.68,10700000,50
﻿en-sv,"it was a gift he gave me .",25500000,50,"Det var en gåva som han gav mig.","It was a gift that he gave me.",0.85714285714286,0.8405612244898,0.84,25700000,42,"Det var en gåva han gav mig.","It was a gift he gave me.",0.94117647058824,0.87574270214415,1,25700000,42,"det var en gåva som han gav mig .","it was a gift that he gave me .",0.91228070175439,0.96161265432099,0.84,25500000,50
﻿en-sv,"his arrival was greeted with chants from the hundreds gathered in the university 's main lecture room .",2380,50,"hans ankomst hälsades med ramsor från hundratals samlades i universitetets viktigaste föreläsningssalen.","his arrival was greeted with chants from the hundreds gathered in the main Lecture Hall.",0.86910994764398,0.7870690649141,0.5,2430,25,"hans ankomst hälsades med chants från hundratals samlade i universitetets främsta föreläsningsrum.","His arrival was greeted with chants from hundreds of collectors in the university's main lecture room.",0.8780487804878,0.69443521042484,0.16,2430,25,"hans ankomst hälsades med sånger från hundratals samlades i university 's stora sal .","his arrival was greeted with chants from the hundreds gathered in the university's great hall .",0.88888888888889,0.72900737982847,0.2,1640,8
﻿en-sv,"the unit was designed for 19 people .",98000000,50,"apparaten var avsedd för 19 personer.","the unit was designed for 19 people.",0.98630136986301,0.87574270214415,1,98000000,50,"Enheten var designad för 19 personer.","The unit was designed for 19 people.",0.95890410958904,0.87574270214415,1,98000000,50,"den är konstruerad för 19 personer .","it is designed for 19 persons .",0.76470588235294,0.4746835443038,0.1,98000000,50
﻿en-sv,""" we are not concerning ourselves with the wild card process until it is certain that Düsseldorf is not receiving a licence .",1530,50,"”vi inte ägna oss åt wild card processen tills det är säkert att Düsseldorf inte tar emot en licens.","""we do not engage in wild card process until it is safe to Düsseldorf does not receive a license.",0.73214285714286,0.44723177064287,0.28,4070,14,"""Vi handlar inte om den vilda kortprocessen förrän det är säkert att Düsseldorf inte får en licens.","""We are not about the wild card process until it is certain that Düsseldorf will not get a license.",0.80530973451327,0.65142576204523,0.28,4070,14,"""vi är inte bekymra oss med wild card processen tills det är säkert att Düsseldorf är inte emot en licens .","""we are not concerning ourselves with the wild card process until it is safe to Dusseldorf are not receiving a license .",0.90243902439024,0.78171329990835,0.7,8140,14
﻿en-sv,"he would like to see the position given to an experienced top manager .",41700000,50,"han skulle vilja se den ståndpunkten att en erfaren top chef.","He would like to see the position that an experienced top manager.",0.90510948905109,0.78901664870044,0.72,42100000,36,"han skulle vilja se den ställning som ges till en erfaren toppchef.","He would like to see the position given to a senior senior manager.",0.82608695652174,0.70971223021583,0.14,42100000,36,"han skulle vilja se den position med tanke på att en erfaren top chef .","he would like to see the position given to an experienced top chef .",0.93525179856115,0.9268808114962,0.02,19700000,7
﻿en-sv,"some would look at them with awe because they faced down insurgents and traveled to exotic places .",2130,50,"några skulle titta på dem med vördnad eftersom de inför ner rebeller och rest till exotiska platser.","some would look at them with AWE as they face down the rebels and traveling to exotic places.",0.82291666666667,0.68671926364234,0.04,22100,2,"vissa skulle se på dem med vördnad eftersom de mötte uppståndare och reste till exotiska platser.","some would look upon them with reverence as they met upset and traveled to exotic places.",0.77659574468085,0.58895904912248,0,22100,2,"vissa skulle se på dem med vördnad eftersom de mötte rebeller och reste till exotiska platser .","some would look at them with awe as they met the rebels and traveled to exotic places .",0.8494623655914,0.7687074829932,0.08,11000,0
﻿en-sv,"this is a case of a "" completely broken personality .",2490000,50,"Detta är ett fall av en ”helt bruten personlighet.","This is a case of a ""completely broken personality.",0.96153846153846,0.79675354366712,1,2490000,50,"detta är ett fall av en ""fullständigt trasig personlighet.","This is a case of a ""completely broken personality.",0.96153846153846,0.79675354366712,1,2490000,50,"detta är ett fall av en "" helt bruten personlighet .","this is a case of a "" completely broken personality .",1,0.97595792637115,1,2490000,50
﻿en-sv,"the research took place at the end of last year 's school year .",94200000,50,"forskningen ägde rum i slutet av förra årets skolår.","the research took place at the end of last year's school year.",0.98412698412698,0.77793747754222,0.66,76600000,33,"Forskningen ägde rum i slutet av förra årets skolår.","The research took place at the end of last year's school year.",0.96825396825397,0.77793747754222,0.66,76600000,33,"forskningen ägde rum i slutet av förra året 's school år .","the research took place at the end of last year's school year .",0.99212598425197,0.84732214228617,0.66,76600000,33
﻿en-sv,"we were a band for almost three years .",69300000,50,"Vi var ett band för nästan tre år.","We were a band for almost three years.",0.96103896103896,0.89185393258427,1,69500000,50,"Vi var ett band i nästan tre år.","We were a band for almost three years.",0.96103896103896,0.89185393258427,1,69500000,50,"vi var ett band i nästan tre år .","we were a band for almost three years .",1,0.99451303155007,1,69500000,50
﻿en-sv,"good liars are skilled at reading others well .",473000,50,"Bra lögnare är skickliga på att läsa andra väl.","Good liars are adept at reading the other well.",0.80851063829787,0.5679012345679,0.12,20000,6,"bra lögnare är skickliga på att läsa andra bra.","Good liars are adept at reading others well.",0.85714285714286,0.75556065122678,0.12,20000,6,"bra lögnare är skickliga på att läsa andras också .","good liars are adept at reading others also .",0.82608695652174,0.74716553287982,0.12,19800,6
﻿﻿en-sv,"a positive mood is still prevailing within the top flight handball team .",474,50,"en positiv stämning är fortfarande rådande inom den toppen flygning i handboll.","a positive mood is still prevailing in the top flight in handball.",0.90647482014388,0.75038759689922,0.66,409,33,"ett positivt humör är fortfarande rådande inom handbollslaget.","A positive mood is still prevailing in the handball team.",0.86153846153846,0.67755419461456,0.38,409,33,"en positiv stämning är fortfarande råder inom allsvenskan handboll .","a positive mood is still prevailing in the allsvenskan handball .",0.79710144927536,0.67226080246914,0,963,19
﻿en-sv,"the shots came from a small car .",42000000,50,"skotten kom från en liten bil.","the shots came from a small car.",0.98461538461538,0.87574270214415,1,42000000,50,"skotten kom från en liten bil.","the shots came from a small car.",0.98461538461538,0.87574270214415,1,42000000,50,"skotten kom från en liten bil .","the shots came from a small car .",1,0.9921875,1,42000000,50
